,feature_code,x,y,z
210348,701,5056544.132,2359013.648,1794.992
63970,701,5056542.178,2359013.653,1789.753
62949,701,5056544.874,2359013.659,1787.961
63377,701,5056543.747,2359013.677,1781.436
63678,701,5056543.131,2359013.688,1789.059
210413,701,5056544.538,2359013.69,1794.987
210580,701,5056543.181,2359013.694,1796.251
62302,701,5056546.809,2359013.713,1780.051
62428,701,5056546.056,2359013.716,1786.853
62668,701,5056545.712,2359013.719,1785.547
63972,701,5056542.259,2359013.72,1789.661
62370,701,5056546.497,2359013.723,1783.356
210349,701,5056544.259,2359013.739,1796.24
63434,701,5056543.373,2359013.745,1786.735
210414,701,5056544.632,2359013.764,1794.988
63116,701,5056544.229,2359013.765,1785.537
62952,701,5056545.01,2359013.767,1785.542
63379,701,5056543.911,2359013.788,1783.108
62304,701,5056546.913,2359013.793,1780.3
63973,701,5056542.355,2359013.795,1789.554
62429,701,5056546.163,2359013.797,1786.976
62371,701,5056546.588,2359013.804,1783.477
62900,701,5056545.44,2359013.81,1786.491
63037,701,5056544.651,2359013.819,1785.543
63118,701,5056544.338,2359013.842,1785.56
62431,701,5056546.227,2359013.847,1785.556
63749,701,5056542.831,2359013.851,1789.214
62430,701,5056546.254,2359013.866,1787.073
63975,701,5056542.452,2359013.866,1789.432
62372,701,5056546.695,2359013.881,1783.609
62306,701,5056547.02,2359013.885,1781.044
210415,701,5056544.803,2359013.9,1795.015
64204,701,5056542.228,2359013.902,1788.305
63380,701,5056544.073,2359013.905,1785.548
62955,701,5056545.209,2359013.928,1786.384
63039,701,5056544.799,2359013.929,1787.855
63437,701,5056543.61,2359013.929,1788.643
62433,701,5056546.339,2359013.935,1786.774
63977,701,5056542.548,2359013.941,1789.338
62307,701,5056547.106,2359013.951,1780.045
63440,701,5056543.605,2359013.953,1781.526
63687,701,5056543.438,2359013.965,1780.028
64206,701,5056542.311,2359013.97,1788.094
210216,701,5056544.897,2359013.974,1795.016
62903,701,5056545.642,2359013.976,1787.209
62375,701,5056546.825,2359013.99,1780.058
63439,701,5056543.666,2359013.992,1783.585
63685,701,5056543.513,2359013.999,1786.113
62957,701,5056545.315,2359014.001,1786.513
62435,701,5056546.436,2359014.014,1786.661
62309,701,5056547.201,2359014.025,1780.025
63753,701,5056543.04,2359014.032,1786.983
62674,701,5056546.132,2359014.043,1786.952
63689,701,5056543.531,2359014.043,1780.035
63980,701,5056542.656,2359014.045,1787.401
63684,701,5056543.595,2359014.046,1788.614
64207,701,5056542.419,2359014.047,1788.179
210581,701,5056543.635,2359014.049,1796.239
210434,701,5056543.804,2359014.05,1795.03
62378,701,5056546.924,2359014.073,1780.505
62959,701,5056545.407,2359014.082,1786.61
62437,701,5056546.532,2359014.084,1786.558
210489,701,5056544.369,2359014.094,1796.237
63688,701,5056543.608,2359014.096,1782.739
